,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
527,Karkaboud Waterfall,Tourist attraction,4.4,201.0,Tourist attraction,"Alborz Province, Karkabood, jdh bshr, 6VC4+629 Karkaboud Waterfall",Savojbolagh,Iran,Alborz,,Entertainment,884.4000000000001,4.36,"Dizin, Karaj, Savojbolagh"
528,Yakh Morad Cave,Tourist attraction,4.2,194.0,"Tourist attraction, Landmark","Alborz Province, Gachsar - Taleqan Rd, 479C+7PX Yakh Morad Cave",Savojbolagh,Iran,Alborz,,Entertainment,814.8000000000001,4.36,"Dizin, Karaj, Savojbolagh"
529,Vardij Valley,Tourist attraction,4.1,108.0,Tourist attraction,"Vardij Valley, R56F+3J2, Tehran, Tehran Province",Savojbolagh,Iran,Tehran,,Entertainment,442.79999999999995,4.44,"Iranshahr, Karaj, Savojbolagh, Tehran"
530,Suleymanieh Palace,Museum,4.3,95.0,"Museum, Tourist attraction","Tehran Province, Karaj, Alborz Province, Karaj, Mesbah, khybn shhyd khynpwr; khkh slymnyh, blwr mmzdh Hsn;, khrj;, ;, Kianpour St, RX3X+483 Suleymanieh Palace",Savojbolagh,Iran,Tehran,,Cultural,408.5,4.56,"Iranshahr, Karaj, Savojbolagh, Tehran"
531,Sepahsalar Waterfall,Tourist attraction,4.2,90.0,Tourist attraction,"Sepahsalar Waterfall, 36C3+8Q5, Tekieh Sepahsalar, Alborz Province",Savojbolagh,Iran,Alborz,,Entertainment,378.0,4.36,"Dizin, Karaj, Savojbolagh"
532,Ardashir Papakan Palace,Castle,4.7,277.0,"Castle, Tourist attraction","Ardashir Papakan Palace, VGXQ+6PQ, Atashkadeh, Fars Province",Firuzabad,Iran,Fars,,Cultural,1301.9,4.68,"Darab, Firuzabad, Kazerun, Oshnavieh, Sepidan, Shiraz"
533,Darabgerd,Historical place,4.4,98.0,"Historical place, Tourist attraction","Darabgerd, MFRH+58X, Darabgerd old city, Fars Province",Firuzabad,Iran,Fars,,Cultural,431.20000000000005,4.68,"Darab, Firuzabad, Kazerun, Oshnavieh, Sepidan, Shiraz"
534,Water Park of Urmia,Water park,4.4,101.0,Water park,"West Azerbaijan Province, Tasmalu, rwmyh,, G54C+X7P Water Park of Urmia",Orumiyeh,Iran,West Azarbaijan,,Entertainment,444.40000000000003,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
535,Urmia Forest Park,City park,4.3,332.0,"City park, Tourist attraction","Urmia Forest Park, G3FM+PV7, Urmia, West Azerbaijan Province",Orumiyeh,Iran,West Azarbaijan,,Nature,1427.6,4.29,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
536,Saint Mary Church,Church,4.4,288.0,"Church, Tourist attraction","West Azerbaijan Province, Urmia, Danesh St, Kelisa ALY, Saint Mary Church",Orumiyeh,Iran,West Azarbaijan,,Religious,1267.2,4.37,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
